filename,label,baseline_mean,baseline_std,global_noise_threshold,threshold_event,event_start_index,event_end_index,event_sample_count,mean_delta_raw,max_delta_raw,min_delta_raw,variance_delta_raw,std_delta_raw,range_delta_raw,duration_ms,mean_raw_original_event,max_raw_original_event,min_raw_original_event,range_raw_original_event
Percobaan 28 Motor.csv,motor,396898.7,58.72146115348289,1941.5969999999945,1941.5969999999945,11,21,11,126762.20909090909,434913.3,397.29999999998836,25087181626.264465,158389.33558249578,434516.0,1024,523660.9090909091,831812,397296,434516
Percobaan 26 Non Motor.csv,non_motor,383722.3,271.17597607457776,1941.5969999999945,1941.5969999999945,6,23,18,414667.98888888885,1165614.7,679.7000000000116,239026949000.1566,488903.82387557224,1164935.0,1725,796994.7777777778,1549337,373340,1175997
Percobaan 3 Non Motor.csv,non_motor,387678.1,32.05136502553362,1941.5969999999945,1941.5969999999945,0,28,29,624781.879310345,2340783.9,2562.0999999999767,758778759752.4504,871079.0777836709,2338221.8,2824,924289.5172413794,2728462,115852,2612610
Percobaan 85 Motor.csv,motor,390587.3,39.79459762329555,1941.5969999999945,1941.5969999999945,10,19,10,158746.1,460978.7,3702.7000000000116,32035441317.840004,178984.4722813686,457276.0,925,549333.4,851566,394290,457276
Percobaan 80 Motor.csv,motor,391148.9,15.990309565483715,1941.5969999999945,1941.5969999999945,13,25,13,244741.86923076928,1272222.1,223.09999999997672,129302666262.17752,359586.79934360425,1271999.0,1200,635890.7692307692,1663371,391372,1271999
Percobaan 55 Motor.csv,motor,398072.7,13.61653406708183,1941.5969999999945,1941.5969999999945,9,17,9,57070.34444444443,172435.3,1063.7000000000116,3679702562.060247,60660.55194325425,171371.59999999998,850,454906.6666666667,570508,397009,173499
Percobaan 20 Motor.csv,motor,400831.4,46.58583475693013,1941.5969999999945,1941.5969999999945,11,20,10,171415.84,703631.6,185.40000000002328,46192525049.45439,214924.463590012,703446.2,925,571563.0,1104463,399099,705364
Percobaan 8 Motor.csv,motor,405245.4,34.05348733977183,1941.5969999999945,1941.5969999999945,0,21,22,120181.61818181818,670188.6,1953.5999999999767,46749075544.32331,216215.34530260175,668235.0,2150,508993.9090909091,1075434,287679,787755
Percobaan 47 Motor.csv,motor,398107.7,31.512061182981984,1941.5969999999945,1941.5969999999945,9,18,10,194631.84000000003,738671.3,411.29999999998836,57920438535.42439,240666.65439030892,738260.0,951,592344.2,1136779,396131,740648
Percobaan 82 Motor.csv,motor,388578.2,45.12826165497625,1941.5969999999945,1941.5969999999945,8,21,14,115676.34285714288,504718.8,427.20000000001164,27837601524.00816,166846.041379495,504291.6,1350,501960.0,893297,380376,512921
Percobaan 29 Non Motor.csv,non_motor,379906.6,2263.243477843248,1941.5969999999945,6789.730433529744,9,23,15,438731.7199999999,1150033.4,833.4000000000233,213138972262.17493,461669.7653758311,1149200.0,1425,774516.1333333333,1529940,251145,1278795
Percobaan 92 Motor.csv,motor,383871.4,46.12851612614479,1941.5969999999945,1941.5969999999945,2,30,29,134644.01379310346,1152656.6,103.40000000002328,91819701589.56671,303017.6588741434,1152553.2000000002,2825,517968.2413793103,1536528,379239,1157289
Percobaan 42 Motor.csv,motor,394901.3,34.49652156377509,1941.5969999999945,1941.5969999999945,0,21,22,70716.24545454544,747821.7,299.70000000001164,29760740483.066105,172513.01540192874,747522.0,2149,465617.54545454547,1142723,395201,747522
Percobaan 48 Motor.csv,motor,398447.0,26.94438717061496,1941.5969999999945,1941.5969999999945,13,21,9,148968.77777777778,811077.0,598.0,61008760343.28395,246999.51486447084,810479.0,824,547282.8888888889,1209524,397849,811675
Percobaan 46 Motor.csv,motor,398573.9,36.20621493611283,1941.5969999999945,1941.5969999999945,13,22,10,195978.44,670405.1,73.09999999997672,67247068855.2964,259320.39807021816,670332.0,925,594085.6,1068979,397640,671339
Percobaan 12 Motor.csv,motor,397402.9,32.101246081733336,1941.5969999999945,1941.5969999999945,10,22,13,229024.99230769233,892362.1,7.900000000023283,96160273868.5638,310097.2006783741,892354.2,1226,626411.1538461539,1289765,397302,892463
Percobaan 56 Motor.csv,motor,397142.1,38.41471072388806,1941.5969999999945,1941.5969999999945,12,21,10,162657.52000000002,735230.9,565.0999999999767,46352369545.53961,215296.004481132,734665.8,923,559686.6,1132373,396577,735796
Percobaan 45 Motor.csv,motor,395689.3,20.919130001030158,1941.5969999999945,1941.5969999999945,9,18,10,156196.25999999995,751530.7,2039.2999999999884,54668866027.98239,233813.74217094766,749491.3999999999,950,551477.7,1147220,393650,753570
